4, 40, 9.88, 259.72, 1.43, 39.50, 2566, 0, 2, 4, yes, 1
5, 40, 9.92, 254.44, 1.40, 39.36, 2524, 0, 2, 4, yes, 1
6, 40, 10.04, 263.05, 1.44, 39.48, 2641, 0, 2, 4, yes, 1
7, 40, 9.81, 259.63, 1.42, 39.20, 2547, 0, 2, 4, yes, 1
8, 40, 9.95, 264.62, 1.45, 39.41, 2633, 0, 2, 4, yes, 1
9, 40, 9.88, 263.06, 1.44, 39.27, 2599, 0, 2, 4, yes, 1
10, 40, 9.99, 255.16, 1.40, 39.19, 2549, 0, 2, 4, yes, 1
1, 50, 9.86, 264.40, 1.45, 49.02, 2607, 0, 2, 4, yes, 1
2, 50, 9.95, 259.80, 1.43, 49.01, 2585, 0, 2, 4, yes, 1
3, 50, 9.80, 263.47, 1.45, 49.22, 2582, 0, 2, 4, yes, 1
4, 50, 9.98, 266.83, 1.46, 49.13, 2663, 0, 2, 4, yes, 1
5, 50, 9.88, 266.19, 1.46, 48.96, 2630, 0, 2, 4, yes, 1
6, 50, 9.96, 273.69, 1.50, 49.22, 2726, 0, 2, 4, yes, 1
7, 50, 9.89, 262.99, 1.44, 49.12, 2601, 0, 2, 4, yes, 1
8, 50, 9.94, 262.88, 1.44, 49.29, 2614, 0, 2, 4, yes, 1
9, 50, 9.89, 266.53, 1.46, 48.93, 2636, 0, 2, 4, yes, 1
10, 50, 9.91, 262.46, 1.44, 49.23, 2601, 0, 2, 4, yes, 1
1, 60, 9.91, 259.74, 1.43, 58.74, 2574, 0, 2, 4, yes, 1
2, 60, 10.03, 271.09, 1.49, 58.90, 2719, 0, 2, 4, yes, 1
3, 60, 9.79, 261.70, 1.44, 57.90, 2562, 0, 2, 4, yes, 1
4, 60, 9.94, 276.26, 1.52, 58.58, 2746, 0, 2, 4, yes, 1
5, 60, 10.00, 271.20, 1.49, 59.09, 2713, 0, 2, 4, yes, 1
6, 60, 9.82, 258.86, 1.42, 58.55, 2542, 0, 2, 4, yes, 1
7, 60, 9.89, 275.23, 1.51, 58.68, 2722, 0, 2, 4, yes, 1
8, 60, 9.97, 268.30, 1.47, 58.59, 2675, 0, 2, 4, yes, 1
9, 60, 9.87, 267.17, 1.47, 58.96, 2637, 0, 2, 4, yes, 1
